iter	Passed	Remaining
642	4650	2581
643	4654	2572
644	4657	2563
645	4661	2554
646	4666	2545
647	4668	2536
648	4672	2526
649	4677	2518
650	4680	2508
651	4683	2499
652	4685	2490
653	4690	2481
654	4693	2472
655	4695	2462
656	4699	2453
657	4702	2443
658	4704	2434
659	4707	2425
660	4711	2416
661	4714	2406
662	4716	2397
663	4719	2388
664	4722	2378
665	4725	2369
666	4729	2360
667	4733	2352
668	4736	2343
669	4738	2334
670	4742	2325
671	4745	2316
672	4749	2307
673	4751	2298
674	4755	2289
675	4758	2280
676	4762	2271
677	4764	2262
678	4767	2254
679	4771	2245
680	4773	2236
681	4776	2227
682	4780	2218
683	4783	2209
684	4787	2201
685	4790	2192
686	4793	2184
687	4796	2175
688	4799	2166
689	4803	2158
690	4808	2150
691	4812	2141
692	4816	2133
693	4820	2125
694	4825	2117
695	4829	2109
696	4834	2101
697	4838	2093
698	4840	2084
699	4843	2075
700	4846	2067
701	4849	2058
702	4853	2050
703	4856	2041
704	4859	2033
705	4862	2024
706	4865	2016
707	4868	2007
708	4872	1999
709	4875	1991
710	4879	1983
711	4882	1974
712	4885	1966
713	4889	1958
714	4892	1950
715	4896	1942
716	4900	1934
717	4903	1926
718	4907	1917
719	4910	1909
720	4913	1901
721	4915	1892
722	4919	1884
723	4922	1876
724	4925	1868
725	4929	1860
726	4933	1852
727	4936	1844
728	4938	1835
729	4943	1828
730	4946	1820
731	4950	1812
732	4953	1804
733	4956	1796
734	4959	1788
735	4962	1780
736	4965	1772
737	4969	1764
738	4974	1756
739	4977	1748
740	4980	1740
741	4983	1732
742	4987	1725
743	4990	1717
744	4992	1708
745	4996	1701
746	4999	1693
747	5002	1685
748	5007	1677
749	5009	1669
750	5013	1662
751	5016	1654
752	5019	1646
753	5023	1638
754	5025	1630
755	5028	1622
756	5031	1615
757	5034	1607
758	5037	1599
759	5039	1591
760	5042	1583
761	5044	1575
762	5047	1567
763	5049	1559
764	5052	1552
765	5054	1543
766	5057	1536
767	5061	1528
768	5065	1521
769	5070	1514
770	5072	1506
771	5075	1498
772	5078	1491
773	5080	1483
774	5084	1476
775	5087	1468
776	5090	1461
777	5094	1453
778	5097	1446
779	5101	1438
780	5103	1431
781	5106	1423
782	5109	1416
783	5113	1408
784	5115	1401
785	5118	1393
786	5121	1386
787	5124	1378
788	5128	1371
789	5132	1364
790	5136	1357
791	5141	1350
792	5145	1343
793	5148	1335
794	5152	1328
795	5155	1321
796	5158	1313
797	5162	1306
798	5166	1299
799	5171	1292
800	5174	1285
801	5179	1278
802	5182	1271
803	5186	1264
804	5190	1257
805	5194	1250
806	5198	1243
807	5202	1236
808	5206	1229
809	5208	1221
810	5211	1214
811	5215	1207
812	5218	1200
813	5222	1193
814	5226	1186
815	5231	1179
816	5234	1172
817	5236	1165
818	5239	1157
819	5242	1150
820	5245	1143
821	5248	1136
822	5251	1129
823	5254	1122
824	5257	1115
825	5260	1108
826	5263	1101
827	5266	1094
828	5269	1087
829	5273	1080
830	5277	1073
831	5280	1066
832	5283	1059
833	5286	1052
834	5290	1045
835	5293	1038
836	5297	1031
837	5300	1024
838	5304	1017
839	5306	1010
840	5310	1003
841	5313	997
842	5316	990
843	5319	983
844	5322	976
845	5325	969
846	5329	962
847	5332	955
848	5336	949
849	5340	942
850	5344	935
851	5347	928
852	5351	922
853	5354	915
854	5358	908
855	5362	902
856	5366	895
857	5368	888
858	5372	881
859	5376	875
860	5379	868
861	5382	861
862	5386	855
863	5390	848
864	5393	841
865	5396	835
866	5400	828
867	5404	821
868	5407	815
869	5410	808
870	5414	801
871	5416	795
872	5419	788
873	5423	781
874	5427	775
875	5430	768
876	5433	762
877	5436	755
878	5439	748
879	5442	742
880	5444	735
881	5448	728
882	5451	722
883	5454	715
884	5457	709
885	5459	702
886	5463	696
887	5467	689
888	5470	683
889	5474	676
890	5478	670
891	5481	663
892	5484	657
893	5487	650
894	5490	644
895	5493	637
896	5497	631
897	5499	624
898	5503	618
899	5507	611
900	5511	605
901	5515	599
902	5517	592
903	5522	586
904	5526	580
905	5529	573
906	5532	567
907	5537	561
908	5541	554
909	5545	548
910	5547	542
911	5551	535
912	5554	529
913	5557	522
914	5560	516
915	5565	510
916	5568	504
917	5572	497
918	5577	491
919	5581	485
920	5583	478
921	5587	472
922	5591	466
923	5594	460
924	5598	453
925	5601	447
926	5605	441
927	5608	435
928	5611	428
929	5613	422
930	5616	416
931	5619	410
932	5622	403
933	5625	397
934	5629	391
935	5632	385
936	5636	378
937	5639	372
938	5643	366
939	5646	360
940	5650	354
941	5654	348
942	5658	342
